Date,Avg Score,Avg Quality,Avg Duration,Avg Sleep Need,Avg Bedtime,Avg Wake Time
Aug 29 - Sep 4,73,Fair,6h 45min,8h 29min,1:36 AM,8:37 AM
Aug 22-28,71,Fair,6h 34min,8h 44min,1:04 AM,8:11 AM
Aug 15-21,74,Fair,7h 11min,8h 19min,2:03 AM,9:43 AM
Aug 8-14,64,Fair,5h 27min,8h 30min,4:04 AM,9:49 AM
Aug 1-7,64,Fair,5h 48min,8h 57min,2:03 AM,8:15 AM
Jul 25-31,73,Fair,6h 10min,8h 11min,2:22 AM,8:49 AM
Jul 18-24,77,Fair,7h 58min,8h 20min,1:41 AM,10:19 AM
Jul 11-17,70,Fair,5h 48min,8h 17min,2:05 AM,8:12 AM
Jul 4-10,79,Fair,6h 59min,8h 26min,1:40 AM,9:03 AM
Jun 27 - Jul 3,73,Fair,6h 32min,8h 22min,2:23 AM,9:14 AM
Jun 20-26,78,Fair,7h 28min,7h 59min,12:44 AM,8:18 AM
Jun 13-19,76,Fair,7h 18min,8h 17min,12:19 AM,7:49 AM
Jun 6-12,72,Fair,5h 55min,8h 13min,2:42 AM,8:45 AM
May 30 - Jun 5,73,Fair,6h 30min,8h 4min,2:57 AM,9:43 AM
May 23-29,76,Fair,6h 16min,8h 37min,2:47 AM,9:15 AM
May 16-22,74,Fair,6h 25min,8h 14min,1:07 AM,7:56 AM
May 9-15,78,Fair,7h 0min,7h 57min,1:36 AM,8:59 AM
May 2-8,73,Fair,6h 19min,8h 11min,2:42 AM,9:17 AM
Apr 25 - May 1,83,Good,7h 30min,8h 14min,12:53 AM,8:37 AM
Apr 18-24,59,Poor,5h 46min,8h 50min,3:39 AM,9:35 AM
Apr 11-17,70,Fair,6h 6min,8h 36min,2:34 AM,9:03 AM
Apr 4-10,69,Fair,6h 8min,8h 40min,2:12 AM,8:38 AM
Mar 28 - Apr 3,79,Fair,6h 53min,8h 24min,1:39 AM,8:52 AM
Mar 21-27,55,Poor,4h 40min,8h 27min,5:53 AM,10:54 AM
Mar 14-20,67,Fair,5h 58min,8h 34min,2:53 AM,9:00 AM
Mar 7-13,73,Fair,6h 32min,8h 37min,2:19 AM,9:18 AM
Feb 28 - Mar 6,77,Fair,6h 57min,8h 33min,12:42 AM,7:58 AM
Feb 21-27,78,Fair,7h 6min,8h 3min,1:39 AM,9:05 AM
Feb 14-20,80,Good,7h 15min,7h 59min,12:28 AM,8:09 AM
Feb 7-13,73,Fair,6h 35min,8h 13min,12:34 AM,7:31 AM
Jan 31 - Feb 6,76,Fair,7h 22min,8h 10min,1:47 AM,9:33 AM
Jan 24-30,79,Fair,6h 23min,8h 3min,2:38 AM,9:11 AM
Jan 17-23,79,Fair,6h 43min,8h 13min,2:09 AM,9:03 AM
Jan 10-16,75,Fair,6h 33min,8h 17min,1:26 AM,8:14 AM
Jan 3-9,79,Fair,6h 24min,8h 30min,1:38 AM,8:12 AM
Dec 27, 2025 - Jan 2, 2026,79,Fair,8h 13min,7h 51min,1:47 AM,10:32 AM
Dec 20-26, 2025,82,Good,7h 28min,7h 50min,1:04 AM,8:55 AM
Dec 13-19, 2025,79,Fair,6h 59min,8h 30min,2:03 AM,9:10 AM
Dec 6-12, 2025,63,Fair,5h 54min,8h 6min,12:36 AM,6:49 AM
Nov 29 - Dec 5, 2025,72,Fair,6h 7min,8h 21min,1:51 AM,8:13 AM
Nov 22-28, 2025,80,Good,6h 56min,8h 6min,2:33 AM,9:39 AM
Nov 15-21, 2025,70,Fair,6h 35min,8h 34min,2:09 AM,9:18 AM
Nov 8-14, 2025,76,Fair,6h 31min,8h 19min,1:59 AM,8:45 AM
Nov 1-7, 2025,81,Good,7h 0min,7h 53min,12:53 AM,8:08 AM
Oct 25-31, 2025,78,Fair,6h 45min,8h 31min,2:08 AM,9:05 AM
Oct 18-24, 2025,82,Good,7h 0min,8h 0min,1:37 AM,8:41 AM
Oct 11-17, 2025,72,Fair,6h 24min,8h 26min,2:19 AM,9:12 AM
Oct 4-10, 2025,78,Fair,7h 4min,7h 53min,12:42 AM,8:14 AM
Sep 27 - Oct 3, 2025,75,Fair,6h 40min,8h 39min,1:44 AM,8:38 AM
Sep 20-26, 2025,71,Fair,6h 23min,8h 47min,1:46 AM,8:29 AM
Sep 13-19, 2025,64,Fair,5h 55min,8h 50min,3:12 AM,9:37 AM
Sep 6-12, 2025,74,Fair,6h 56min,8h 36min,1:42 AM,8:56 AM
