"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Seated Calf Raise",,"No tib raises at fidi /10 volume, hold a yoga block in between",0,"normal",9,20,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Seated Calf Raise",,"No tib raises at fidi /10 volume, hold a yoga block in between",1,"normal",11.5,15,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Seated Calf Raise",,"No tib raises at fidi /10 volume, hold a yoga block in between",2,"normal",11.5,15,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Seated Calf Raise",,"No tib raises at fidi /10 volume, hold a yoga block in between",3,"normal",11.5,15,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Chest Press (Machine)",,"Fidi Life Fitness",0,"warmup",70,10,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Chest Press (Machine)",,"Fidi Life Fitness",1,"normal",110,10,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Chest Press (Machine)",,"Fidi Life Fitness",2,"normal",110,10,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Chest Press (Machine)",,"Fidi Life Fitness",3,"normal",110,10,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Assisted Pistol Squats",,"First time with band, off blue box. Then the rest no band",0,"normal",,20,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Assisted Pistol Squats",,"First time with band, off blue box. Then the rest no band",1,"normal",,20,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Assisted Pistol Squats",,"First time with band, off blue box. Then the rest no band",2,"normal",,20,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Single Leg Romanian Deadlift (Dumbbell)",,"Using band",0,"normal",61.6,12,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Single Leg Romanian Deadlift (Dumbbell)",,"Using band",1,"normal",61.6,16,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Single Leg Romanian Deadlift (Dumbbell)",,"Using band",2,"normal",61.6,20,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Bulgarian Split Squat (Dumbbell)",,"Using band",0,"normal",61.6,12,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Bulgarian Split Squat (Dumbbell)",,"Using band",1,"normal",61.6,16,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Bulgarian Split Squat (Dumbbell)",,"Using band",2,"normal",44,20,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Hip Abduction (Machine)",,"Fidi hoist, /10 volume deflation",0,"normal",11,10,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Hip Abduction (Machine)",,"Fidi hoist, /10 volume deflation",1,"normal",13,10,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Hip Abduction (Machine)",,"Fidi hoist, /10 volume deflation",2,"normal",14,10,,,
"Single leg","3 Sep 2026, 20:08","3 Sep 2026, 21:09","","Hip Abduction (Machine)",,"Fidi hoist, /10 volume deflation",3,"normal",15,10,,,
"Full body","2 Sep 2026, 20:11","2 Sep 2026, 21:28","","Seated Cable Row - V Grip (Cable)",,"",0,"warmup",110,10,,,
